province,period,avgTemperature,avgRainfall,avgHumidity,weatherScore,year,month
"chiang-rai","2025-06",26.72,9.97,84.22,81,2025,06
"chiang-rai","2025-07",25.99,16.81,86.06,76,2025,07
"chiang-rai","2025-08",26.30,10.02,84.53,81,2025,08
"chiang-rai","2025-09",25.72,9.95,83.69,83,2025,09
"chiang-rai","2025-10",25.14,3.85,79.17,92,2025,10
"chiang-rai","2025-11",22.00,7.24,84.11,85,2025,11
"lampang","2020-01",24.23,0.03,75.76,99,2020,01
"lampang","2020-02",26.39,0.03,72.52,99,2020,02
"lampang","2020-03",30.16,0.24,67.38,95,2020,03
"lampang","2020-04",30.81,2.75,69.56,91,2020,04
"lampang","2020-05",31.90,1.77,68.42,86,2020,05
"lampang","2020-06",29.47,6.24,76.30,83,2020,06
"lampang","2020-07",29.11,7.44,78.95,85,2020,07
"lampang","2020-08",26.98,12.75,83.49,80,2020,08
"lampang","2020-09",27.63,11.21,82.93,83,2020,09
"lampang","2020-10",25.95,5.21,80.97,89,2020,10
"lampang","2020-11",26.14,0.77,74.59,97,2020,11
"lampang","2020-12",23.32,0.05,77.15,99,2020,12
